Luxembourg;48190
Danemark;27228
Suède;25189
Finlande;24143
Belgique;22853
Autriche;22580
France;21109
Pays-Bas;20599
Irlande;19866
Allemagne;19697
Zone Euro;17675
Italie;17621
Union Européenne;15952
Espagne;12301
Chypre;11691
Malte;11321
Slovénie;11319
Grèce;9941
Portugal;8947
Slovaquie;8701
République tchèque;8497
Estonie;8324
Croatie;7721
Pologne;7623
Hongrie;7558
Lituanie;6577
Lettonie;6567
Roumanie;4706
Bulgarie;3679
