Allemagne;48.6
Autriche;52.1
Belgique;54.6
Bulgarie;39.8
Chypre;40.2
Croatie;47.4
Danemark;47.2
Espagne;46.4
Estonie;43.5
Finlande;55.6
France;57.3
Grèce;50.5
Hongrie;49.1
Irlande;22.9
Italie;55.2
Lettonie;41
Lituanie;38.2
Luxembourg;48.1
Malte;38.4
Pays-Bas;43.5
Pologne;46.7
Portugal;42.3
République tchèque;45.4
Roumanie;40.2
Slovaquie;47.9
Slovénie;46.7
Suède;48
Union Européenne;49.4
Zone Euro;50
